#  Rhode Island Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200410,2.49,-1.01
200411,4.49,0.34
200412,5.01,0.84
200501,4.81,0.87
200502,2.98,-0.46
200503,5.19,0.98
200504,5.42,1.36
200505,4.41,0.97
200506,1.25,-2.07
200507,1.93,-1.33
200508,4.10,0.05
200509,3.30,-0.31
200510,14.54,11.04
200511,5.69,1.54
200512,4.21,0.04
200601,5.76,1.82
200602,2.74,-0.70
200603,0.59,-3.62
200604,2.97,-1.09
200605,7.68,4.24
200606,10.55,7.23
200607,2.92,-0.34
200608,4.44,0.39
200609,2.99,-0.62
200610,7.18,3.68
200611,6.60,2.45
200612,2.28,-1.89
200701,4.01,0.07
200702,2.42,-1.02
200703,6.01,1.80
200704,8.16,4.10
200705,2.78,-0.66
200706,3.05,-0.27
200707,3.41,0.15
200708,1.55,-2.50
200709,2.19,-1.42
200710,2.56,-0.94
200711,3.25,-0.90
200712,5.07,0.90
200801,2.88,-1.06
200802,6.96,3.52
200803,5.66,1.45
200804,4.17,0.11
200805,2.47,-0.97
200806,2.82,-0.50
200807,4.88,1.62
200808,3.43,-0.62
200809,9.23,5.62
200810,2.17,-1.33
200811,4.42,0.27
200812,7.61,3.44
200901,3.81,-0.13
200902,1.96,-1.48
200903,2.73,-1.48
200904,5.55,1.49
200905,3.44,0.00
200906,4.53,1.21
200907,10.32,7.06
200908,3.08,-0.97
200909,2.22,-1.39
200910,6.77,3.27
200911,3.58,-0.57
200912,6.03,1.86
201001,3.29,-0.65
201002,4.76,1.32
201003,14.75,10.54
201004,1.95,-2.11
201005,2.73,-0.71
201006,3.77,0.45
201007,3.70,0.44
201008,3.20,-0.85
201009,2.94,-0.67
201010,4.36,0.86
201011,3.67,-0.48
201012,4.20,0.03
201101,4.06,0.12
201102,4.56,1.12
201103,2.52,-1.69
201104,5.35,1.29
201105,3.40,-0.04
201106,4.41,1.09
201107,2.73,-0.53
201108,8.16,4.11
201109,6.36,2.75
201110,7.47,3.97
201111,4.52,0.37
201112,3.99,-0.18
201201,3.30,-0.64
201202,1.17,-2.27
201203,1.41,-2.80
201204,3.22,-0.84
201205,4.58,1.14
201206,4.23,0.91
201207,3.78,0.52
201208,4.17,0.12
201209,4.53,0.92
201210,3.93,0.43
201211,0.99,-3.16
201212,5.82,1.65
201301,1.86,-2.08
201302,4.79,1.35
201303,2.49,-1.72
201304,1.80,-2.26
201305,3.58,0.14
201306,10.19,6.87
201307,2.88,-0.38
201308,3.32,-0.73
201309,3.18,-0.43
201310,0.89,-2.61
201311,3.98,-0.17
201312,4.21,0.04
201401,3.31,-0.63
201402,4.23,0.79
201403,5.91,1.70
201404,4.57,0.51
201405,3.25,-0.19
201406,2.31,-1.01
201407,4.67,1.41
201408,2.54,-1.51
201409,0.86,-2.75
201410,4.44,0.94
201411,5.14,0.99
201412,6.01,1.84
201501,3.71,-0.23
201502,2.67,-0.77
201503,4.15,-0.06
201504,2.50,-1.56
201505,1.03,-2.41
201506,5.34,2.02
201507,3.12,-0.14
201508,2.53,-1.52
201509,4.00,0.39
201510,4.02,0.52
201511,2.59,-1.56
201512,5.22,1.05
201601,3.20,-0.74
201602,5.26,1.82
201603,2.66,-1.55
201604,3.99,-0.07
201605,3.45,0.01
201606,1.44,-1.88
201607,2.60,-0.66
201608,2.85,-1.20
201609,2.75,-0.86
201610,6.32,2.82
201611,3.21,-0.94
201612,3.53,-0.64
201701,4.84,0.90
201702,2.32,-1.12
201703,3.72,-0.49
201704,6.56,2.50
201705,6.33,2.89
201706,3.75,0.43
201707,3.60,0.34
201708,1.89,-2.16
201709,3.16,-0.45
201710,7.41,3.91
201711,2.75,-1.40
201712,2.78,-1.39
201801,5.79,1.85
201802,5.68,2.24
201803,5.50,1.29
201804,5.40,1.34
201805,2.33,-1.11
201806,2.70,-0.62
201807,2.51,-0.75
201808,4.54,0.49
201809,7.91,4.30
201810,6.56,3.06
201811,9.60,5.45
201812,4.66,0.49
201901,6.42,2.48
201902,3.51,0.07
201903,3.45,-0.76
201904,7.08,3.02
201905,4.05,0.61
201906,4.80,1.48
201907,4.66,1.40
201908,4.04,-0.01
201909,1.63,-1.98
201910,7.05,3.55
201911,3.12,-1.03
201912,7.30,3.13
202001,1.50,-2.44
202002,3.30,-0.14
202003,4.46,0.25
202004,5.40,1.34
202005,3.17,-0.27
202006,2.84,-0.48
202007,1.73,-1.53
202008,1.78,-2.27
202009,1.17,-2.44
202010,5.81,2.31
202011,5.38,1.23
202012,7.98,3.81
202101,2.29,-1.65
202102,3.64,0.20
202103,2.80,-1.41
202104,3.49,-0.57
202105,5.12,1.68
202106,2.31,-1.01
202107,7.35,4.09
202108,5.26,1.21
202109,7.47,3.86
202110,5.94,2.44
202111,2.21,-1.94
202112,1.97,-2.20
202201,3.44,-0.50
202202,5.97,2.53
202203,3.11,-1.10
202204,3.62,-0.44
202205,1.86,-1.58
202206,3.91,0.59
202207,1.12,-2.14
202208,2.90,-1.15
202209,6.36,2.75
202210,5.35,1.85
202211,3.08,-1.07
202212,6.29,2.12
