#  Nebraska Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201506,58.2,2.9
201507,60.6,-0.3
201508,58.0,-0.9
201509,55.3,6.6
201510,41.2,4.6
201511,28.3,4.7
201512,20.3,6.1
201601,16.4,5.8
201602,23.9,9.1
201603,29.2,5.7
201604,37.6,3.1
201605,44.6,-0.8
201606,59.2,3.9
201607,61.8,0.9
201608,59.5,0.6
201609,51.7,3.0
201610,40.6,4.0
201611,30.9,7.3
201612,12.0,-2.2
201701,15.4,4.8
201702,22.4,7.6
201703,29.4,5.9
201704,37.4,2.9
201705,44.3,-1.1
201706,56.4,1.1
201707,63.1,2.2
201708,56.4,-2.5
201709,51.3,2.6
201710,37.5,0.9
201711,26.9,3.3
201712,15.2,1.0
201801,11.9,1.3
201802,10.2,-4.6
201803,26.4,2.9
201804,28.2,-6.3
201805,51.0,5.6
201806,59.8,4.5
201807,61.6,0.7
201808,58.3,-0.6
201809,53.8,5.1
201810,35.1,-1.5
201811,21.9,-1.7
201812,18.2,4.0
201901,16.2,5.6
201902,7.0,-7.8
201903,21.5,-2.0
201904,35.6,1.1
201905,42.4,-3.0
201906,55.3,0.0
201907,62.5,1.6
201908,60.6,1.7
201909,55.6,6.9
201910,31.0,-5.6
201911,22.8,-0.8
201912,20.1,5.9
202001,17.4,6.8
202002,17.5,2.7
202003,29.4,5.9
202004,30.6,-3.9
202005,45.2,-0.2
202006,59.8,4.5
202007,62.6,1.7
202008,60.0,1.1
202009,47.8,-0.9
202010,32.5,-4.1
202011,28.0,4.4
202012,19.0,4.8
202101,20.2,9.6
202102,6.5,-8.3
202103,30.3,6.8
202104,33.1,-1.4
202105,46.0,0.6
202106,58.7,3.4
202107,62.3,1.4
202108,60.7,1.8
202109,52.8,4.1
202110,39.7,3.1
202111,28.9,5.3
202112,20.3,6.1
202201,11.8,1.2
202202,12.3,-2.5
202203,24.1,0.6
202204,31.4,-3.1
202205,45.8,0.4
202206,57.2,1.9
202207,63.0,2.1
202208,60.7,1.8
202209,51.7,3.0
202210,36.3,-0.3
202211,20.8,-2.8
202212,11.9,-2.3
