#  North Dakota Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201108,56.0,3.0
201109,44.3,1.5
201110,36.3,4.7
201111,19.4,2.4
201112,13.9,10.5
201201,9.6,13.1
201202,10.0,8.2
201203,27.8,13.1
201204,33.1,3.8
201205,42.1,1.5
201206,52.8,2.1
201207,60.8,5.1
201208,52.6,-0.4
201209,41.7,-1.1
201210,31.3,-0.3
201211,18.8,1.8
201212,4.8,1.4
201301,1.7,5.2
201302,7.8,6.0
201303,6.9,-7.8
201304,21.3,-8.0
201305,41.0,0.4
201306,52.3,1.6
201307,56.2,0.5
201308,55.6,2.6
201309,49.4,6.6
201310,31.9,0.3
201311,15.8,-1.2
201312,-4.2,-7.6
201401,-3.1,0.4
201402,-4.9,-6.7
201403,12.4,-2.3
201404,26.5,-2.8
201405,41.6,1.0
201406,51.9,1.2
201407,54.6,-1.1
201408,56.1,3.1
201409,44.8,2.0
201410,34.6,3.0
201411,11.0,-6.0
201412,10.2,6.8
201501,7.0,10.5
201502,-2.8,-4.6
201503,21.1,6.4
201504,30.4,1.1
201505,39.8,-0.8
201506,53.2,2.5
201507,57.5,1.8
201508,53.7,0.7
201509,48.0,5.2
201510,35.9,4.3
201511,22.4,5.4
201512,13.4,10.0
201601,6.4,9.9
201602,16.6,14.8
201603,24.5,9.8
201604,30.0,0.7
201605,42.8,2.2
201606,53.3,2.6
201607,57.3,1.6
201608,54.3,1.3
201609,47.0,4.2
201610,35.7,4.1
201611,28.9,11.9
201612,2.6,-0.8
201701,3.9,7.4
201702,11.8,10.0
201703,17.6,2.9
201704,30.4,1.1
201705,40.9,0.3
201706,51.3,0.6
201707,57.8,2.1
201708,52.1,-0.9
201709,45.8,3.0
201710,32.0,0.4
201711,16.3,-0.7
201712,6.6,3.2
201801,1.5,5.0
201802,-5.4,-7.2
201803,16.0,1.3
201804,21.6,-7.7
201805,46.0,5.4
201806,55.3,4.6
201807,56.4,0.7
201808,53.2,0.2
201809,43.0,0.2
201810,28.4,-3.2
201811,15.4,-1.6
201812,12.5,9.1
201901,0.9,4.4
201902,-11.4,-13.2
201903,10.8,-3.9
201904,30.6,1.3
201905,37.3,-3.3
201906,51.3,0.6
201907,57.6,1.9
201908,53.4,0.4
201909,47.9,5.1
201910,29.0,-2.6
201911,18.0,1.0
201912,7.4,4.0
202001,4.7,8.2
202002,7.4,5.6
202003,19.5,4.8
202004,24.8,-4.5
202005,40.0,-0.6
202006,53.5,2.8
202007,57.7,2.0
202008,55.4,2.4
202009,43.3,0.5
202010,27.6,-4.0
202011,19.8,2.8
202012,12.9,9.5
202101,13.0,16.5
202102,-4.5,-6.3
202103,22.1,7.4
202104,26.9,-2.4
202105,38.6,-2.0
202106,54.4,3.7
202107,60.0,4.3
202108,55.1,2.1
202109,47.4,4.6
202110,37.5,5.9
202111,22.2,5.2
202112,4.1,0.7
202201,-2.6,0.9
202202,-2.5,-4.3
202203,16.6,1.9
202204,24.7,-4.6
202205,41.4,0.8
202206,52.0,1.3
202207,58.4,2.7
202208,56.4,3.4
202209,46.7,3.9
202210,33.4,1.8
202211,14.3,-2.7
202212,-1.3,-4.7
