#  Wisconsin Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201411,17.8,-5.7
201412,18.2,8.2
201501,7.6,4.6
201502,-2.7,-8.8
201503,19.2,0.9
201504,32.6,1.3
201505,44.8,2.5
201506,52.6,0.4
201507,57.1,0.0
201508,55.9,1.2
201509,54.1,7.3
201510,37.9,1.8
201511,30.5,7.0
201512,26.4,16.4
201601,8.6,5.6
201602,14.3,8.2
201603,27.6,9.3
201604,32.6,1.3
201605,43.3,1.0
201606,54.4,2.2
201607,59.3,2.2
201608,59.3,4.6
201609,53.1,6.3
201610,40.5,4.4
201611,32.1,8.6
201612,13.6,3.6
201701,12.5,9.5
201702,18.2,12.1
201703,21.0,2.7
201704,35.3,4.0
201705,42.5,0.2
201706,53.9,1.7
201707,57.5,0.4
201708,53.7,-1.0
201709,50.6,3.8
201710,40.4,4.3
201711,23.3,-0.2
201712,9.8,-0.2
201801,6.0,3.0
201802,5.5,-0.6
201803,19.1,0.8
201804,22.2,-9.1
201805,49.0,6.7
201806,56.0,3.8
201807,58.3,1.2
201808,57.8,3.1
201809,51.2,4.4
201810,35.1,-1.0
201811,21.2,-2.3
201812,18.7,8.7
201901,5.0,2.0
201902,3.6,-2.5
201903,14.4,-3.9
201904,32.0,0.7
201905,41.2,-1.1
201906,51.9,-0.3
201907,60.5,3.4
201908,54.6,-0.1
201909,53.0,6.2
201910,36.4,0.3
201911,22.1,-1.4
201912,15.8,5.8
202001,14.4,11.4
202002,8.4,2.3
202003,26.0,7.7
202004,29.7,-1.6
202005,43.1,0.8
202006,54.5,2.3
202007,61.0,3.9
202008,56.9,2.2
202009,47.2,0.4
202010,32.2,-3.9
202011,29.1,5.6
202012,16.5,6.5
202101,13.0,10.0
202102,0.5,-5.6
202103,26.0,7.7
202104,34.0,2.7
202105,43.3,1.0
202106,57.2,5.0
202107,57.9,0.8
202108,58.0,3.3
202109,49.0,2.2
202110,44.0,7.9
202111,24.8,1.3
202112,16.6,6.6
202201,-1.2,-4.2
202202,4.1,-2.0
202203,20.2,1.9
202204,30.1,-1.2
202205,46.2,3.9
202206,53.4,1.2
202207,58.1,1.0
202208,57.0,2.3
202209,49.6,2.8
202210,35.7,-0.4
202211,26.4,2.9
202212,12.3,2.3
